timestamp,arbitration_id,data_hex,label,type
1763994029.76055,123,0C80,0,ecu_engine_rpm
1763994029.761121,310,00000000,0,ecu_transmission
1763994029.761593,240,0000,0,ecu_abs_status
1763994029.762154,500,0D0E0F10,0,ecu_body_control
1763994029.780587,123,0BD4,0,ecu_engine_rpm
1763994029.800951,123,0BD4,0,ecu_engine_rpm
1763994029.812211,240,0000,0,ecu_abs_status
1763994029.822034,123,0BD4,0,ecu_engine_rpm
1763994029.843069,123,0BD4,0,ecu_engine_rpm
1763994029.863138,310,00000000,0,ecu_transmission
1763994029.864238,123,0BD4,0,ecu_engine_rpm
1763994029.864643,240,0000,0,ecu_abs_status
1763994029.884983,123,0BC8,0,ecu_engine_rpm
1763994029.905973,123,0BC8,0,ecu_engine_rpm
1763994029.915796,240,0000,0,ecu_abs_status
1763994029.926817,123,0BC8,0,ecu_engine_rpm
1763994029.947526,123,0BC8,0,ecu_engine_rpm
1763994029.965427,310,00000000,0,ecu_transmission
1763994029.967197,240,0000,0,ecu_abs_status
1763994029.967877,123,0C00,0,ecu_engine_rpm
1763994029.988867,123,0C00,0,ecu_engine_rpm
1763994030.010091,123,0C00,0,ecu_engine_rpm
1763994030.018704,240,0000,0,ecu_abs_status
1763994030.030597,123,0C00,0,ecu_engine_rpm
1763994030.051581,123,0C00,0,ecu_engine_rpm
1763994030.067627,310,00000000,0,ecu_transmission
1763994030.069898,240,0000,0,ecu_abs_status
1763994030.07228,123,0C88,0,ecu_engine_rpm
1763994030.092932,123,0C88,0,ecu_engine_rpm
1763994030.113775,123,0C88,0,ecu_engine_rpm
1763994030.121125,240,0000,0,ecu_abs_status
1763994030.134555,123,0C88,0,ecu_engine_rpm
1763994030.155598,123,0C88,0,ecu_engine_rpm
1763994030.170107,310,00000000,0,ecu_transmission
1763994030.172354,240,0000,0,ecu_abs_status
1763994030.176355,123,0C84,0,ecu_engine_rpm
1763994030.197357,123,0C84,0,ecu_engine_rpm
1763994030.218381,123,0C84,0,ecu_engine_rpm
1763994030.223864,240,0000,0,ecu_abs_status
1763994030.239372,123,0C84,0,ecu_engine_rpm
1763994030.260086,123,0C84,0,ecu_engine_rpm
1763994030.272438,310,00000000,0,ecu_transmission
1763994030.275246,240,0000,0,ecu_abs_status
1763994030.280743,123,0CE0,0,ecu_engine_rpm
1763994030.30116,123,0CE0,0,ecu_engine_rpm
1763994030.321758,123,0CE0,0,ecu_engine_rpm
1763994030.32613,240,0000,0,ecu_abs_status
1763994030.342119,123,0CE0,0,ecu_engine_rpm
1763994030.362702,123,0CE0,0,ecu_engine_rpm
1763994030.374123,310,00000000,0,ecu_transmission
1763994030.376344,240,0000,0,ecu_abs_status
1763994030.383182,123,0C5C,0,ecu_engine_rpm
1763994030.403671,123,0C5C,0,ecu_engine_rpm
1763994030.424154,123,0C5C,0,ecu_engine_rpm
1763994030.427352,240,0000,0,ecu_abs_status
1763994030.444651,123,0C5C,0,ecu_engine_rpm
1763994030.46515,123,0C5C,0,ecu_engine_rpm
1763994030.476053,310,00000000,0,ecu_transmission
1763994030.478367,240,0000,0,ecu_abs_status
1763994030.485717,123,0C08,0,ecu_engine_rpm
1763994030.506178,123,0C08,0,ecu_engine_rpm
1763994030.527318,123,0C08,0,ecu_engine_rpm
1763994030.529934,240,0000,0,ecu_abs_status
1763994030.547986,123,0C08,0,ecu_engine_rpm
1763994030.56855,123,0C08,0,ecu_engine_rpm
1763994030.577936,310,00000000,0,ecu_transmission
1763994030.580806,240,0000,0,ecu_abs_status
1763994030.588901,123,0D10,0,ecu_engine_rpm
1763994030.609393,123,0D10,0,ecu_engine_rpm
1763994030.629912,123,0D10,0,ecu_engine_rpm
1763994030.63187,240,0000,0,ecu_abs_status
1763994030.650415,123,0D10,0,ecu_engine_rpm
1763994030.670898,123,0D10,0,ecu_engine_rpm
1763994030.679834,310,00000000,0,ecu_transmission
1763994030.682868,240,0000,0,ecu_abs_status
1763994030.691394,123,0C10,0,ecu_engine_rpm
1763994030.711861,123,0C10,0,ecu_engine_rpm
1763994030.732339,123,0C10,0,ecu_engine_rpm
1763994030.73378,240,0000,0,ecu_abs_status
1763994030.752798,123,0C10,0,ecu_engine_rpm
1763994030.762683,500,0D0E0F10,0,ecu_body_control
1763994030.773254,123,0C10,0,ecu_engine_rpm
1763994030.781727,310,00000000,0,ecu_transmission
1763994030.784766,240,0000,0,ecu_abs_status
1763994030.793707,123,0C50,0,ecu_engine_rpm
1763994030.814174,123,0C50,0,ecu_engine_rpm
1763994030.834666,123,0C50,0,ecu_engine_rpm
1763994030.835771,240,0000,0,ecu_abs_status
1763994030.855173,123,0C50,0,ecu_engine_rpm
1763994030.875631,123,0C50,0,ecu_engine_rpm
1763994030.88361,310,00000000,0,ecu_transmission
1763994030.886869,240,0000,0,ecu_abs_status
1763994030.896111,123,0C18,0,ecu_engine_rpm
1763994030.916589,123,0C18,0,ecu_engine_rpm
1763994030.937059,123,0C18,0,ecu_engine_rpm
1763994030.937879,240,0000,0,ecu_abs_status
1763994030.957547,123,0C18,0,ecu_engine_rpm
1763994030.978879,123,0C18,0,ecu_engine_rpm
1763994030.986134,310,00000000,0,ecu_transmission
1763994030.989226,240,0000,0,ecu_abs_status
1763994030.999232,123,0D1C,0,ecu_engine_rpm
1763994031.020084,123,0D1C,0,ecu_engine_rpm
1763994031.040378,240,0000,0,ecu_abs_status
1763994031.041068,123,0D1C,0,ecu_engine_rpm
1763994031.061616,123,0D1C,0,ecu_engine_rpm
1763994031.082306,123,0D1C,0,ecu_engine_rpm
1763994031.088473,310,00000000,0,ecu_transmission
